"nom_estacio";"nom_contaminant";"valor";"month";"data";"longitud";"latitud"
"Barcelona (el Poblenou)";"PM10";12,3;"2024-03";2024-03-08;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";8,9;"2024-03";2024-03-11;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";28,2;"2024-03";2024-03-18;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";16,8;"2024-03";2024-03-20;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";37,1;"2024-03";2024-03-22;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";23,2;"2024-03";2024-03-29;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";19,1;"2024-03";2024-03-02;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";8;"2024-03";2024-03-10;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";12,3;"2024-03";2024-03-12;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";9,8;"2024-03";2024-03-26;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";18,9;"2024-03";2024-03-14;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";28,2;"2024-03";2024-03-16;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";19;"2024-03";2024-03-28;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";11,7;"2024-03";2024-03-30;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";10,9;"2024-03";2024-03-31;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";20,7;"2024-04";2024-04-04;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";14,9;"2024-04";2024-04-09;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";26;"2024-04";2024-04-15;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";21,7;"2024-04";2024-04-24;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";15,2;"2024-04";2024-04-27;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";8;"2024-04";2024-04-01;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";15,8;"2024-04";2024-04-03;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";18,4;"2024-04";2024-04-07;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";21,7;"2024-04";2024-04-13;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";15,5;"2024-04";2024-04-17;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";28,5;"2024-04";2024-04-19;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";16;"2024-04";2024-04-21;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13,6;"2024-04";2024-04-23;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";11,2;"2024-04";2024-04-25;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";17,8;"2024-04";2024-04-06;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";23,5;"2024-04";2024-04-08;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";22;"2024-04";2024-04-11;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";11,7;"2024-04";2024-04-18;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";15,6;"2024-04";2024-04-20;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";11,2;"2024-04";2024-04-22;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";11,4;"2024-04";2024-04-29;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";9,4;"2024-04";2024-04-02;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";15;"2024-04";2024-04-10;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";26,7;"2024-04";2024-04-12;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";14,7;"2024-04";2024-04-26;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";30,4;"2024-04";2024-04-14;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";21,9;"2024-04";2024-04-16;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13,3;"2024-04";2024-04-28;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";11;"2024-04";2024-04-30;2,20473014;41,40370072
"Badalona (Assemblea de Catalunya)";"PM10";35,61;"2024-01";2024-01-27;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";24,76;"2024-01";2024-01-01;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16,27;"2024-01";2024-01-03;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";22,11;"2024-01";2024-01-05;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";4,46;"2024-01";2024-01-07;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";23,09;"2024-01";2024-01-21;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";37,69;"2024-01";2024-01-25;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";17,25;"2024-01";2024-01-11;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";23,5;"2024-01";2024-01-20;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";13,63;"2024-01";2024-01-22;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";25,83;"2024-01";2024-01-29;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";26,29;"2024-01";2024-01-10;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";14,19;"2024-01";2024-01-12;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";29,07;"2024-01";2024-01-26;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18,08;"2024-01";2024-01-28;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";29,76;"2024-01";2024-01-30;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";30,32;"2024-01";2024-01-31;2,24823024;41,45130205
"Barcelona (el Poblenou)";"PM10";26,3;"2024-02";2024-02-04;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";22,1;"2024-02";2024-02-09;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";24,1;"2024-02";2024-02-15;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";8;"2024-02";2024-02-24;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";11,6;"2024-02";2024-02-27;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";38;"2024-02";2024-02-01;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";28,1;"2024-02";2024-02-03;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";30,7;"2024-02";2024-02-05;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";40,2;"2024-02";2024-02-07;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";16,2;"2024-02";2024-02-13;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";10,6;"2024-02";2024-02-17;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";27,2;"2024-02";2024-02-19;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";24,2;"2024-02";2024-02-21;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";12;"2024-02";2024-02-23;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13,7;"2024-02";2024-02-25;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";28,2;"2024-02";2024-02-06;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";31;"2024-02";2024-02-08;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";9;"2024-02";2024-02-11;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";14,4;"2024-02";2024-02-18;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";25,1;"2024-02";2024-02-20;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";27,1;"2024-02";2024-02-22;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";35;"2024-02";2024-02-02;2,20473014;41,40370072
