"timestamp";"station_id";"station_name";"station_province";"altitude";"mean_temperature";"min_temperature";"max_temperature";"mean_relative_humidity";"min_relative_humidity";"max_relative_humidity";"precipitation";"mean_wind_direction";"mean_wind_speed";"global_solar_radiation";"geometry";"CodiEscola"
2024-01-22;"YP";"Palafrugell";"Girona";36;6,3;-1.6;15.2;84;51;100;0,1;NA;NA;9.8;c(3.16034, 41.90708);"5"
2024-01-23;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;11,4;9.5;14.2;74;54;99;0;NA;NA;9.3;c(2.12379, 41.41864);"4"
2024-01-23;"WU";"Badalona - Museu";"Barcelona";42;11,8;8.9;15.7;75;62;89;0;NA;NA;8.3;c(2.24757, 41.45215);"2"
2024-01-23;"X1";"Falset";"Tarragona";359;12,4;8.4;18;77;57;95;0;NA;NA;10.1;c(0.81953, 41.15374);"3"
2024-01-23;"YJ";"Lleida - la Femosa";"Lleida";170;4,8;-0.2;13.2;93;71;99;0,1;NA;NA;8;c(0.64172, 41.58462);"1"
2024-01-23;"YP";"Palafrugell";"Girona";36;8,3;0.7;17.3;90;59;100;0;NA;NA;9.2;c(3.16034, 41.90708);"5"
2024-01-24;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;14,4;12.5;18.9;64;49;71;0;NA;NA;10.6;c(2.12379, 41.41864);"4"
2024-01-24;"WU";"Badalona - Museu";"Barcelona";42;13,1;10.5;16.7;76;59;87;0;NA;NA;10.5;c(2.24757, 41.45215);"2"
2024-01-24;"X1";"Falset";"Tarragona";359;12,7;8;19;81;52;100;0;NA;NA;10.6;c(0.81953, 41.15374);"3"
2024-01-24;"YJ";"Lleida - la Femosa";"Lleida";170;4,5;1.5;10.1;98;87;99;0,3;NA;NA;5.1;c(0.64172, 41.58462);"1"
2024-01-24;"YP";"Palafrugell";"Girona";36;9,1;2.9;19.7;88;51;100;0;NA;NA;10.2;c(3.16034, 41.90708);"5"
2024-01-25;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;16,6;12.7;20.9;55;36;75;0;NA;NA;10.8;c(2.12379, 41.41864);"4"
